"key_ID","year","directorate_general_ID","directorate_general","directorate_general_code","count_cases"
556,2020,16,"Financial Stability, Financial Services and Capital Markets Union","FISMA",8
557,2020,17,"Health and Consumers","SANCO",0
558,2020,18,"Health and Food Safety","SANTE",0
559,2020,19,"Human Resources and Security","HR",0
560,2020,20,"Internal Market and Services","MARKT",0
561,2020,21,"Internal Market, Industry, Entrepreneurship and SMEs","GROW",1
562,2020,22,"Justice and Consumers","JUST",1
563,2020,23,"Legal Service","SJ",0
564,2020,24,"Maritime Affairs and Fisheries","MARE",0
565,2020,25,"Migration and Home Affairs","HOME",17
566,2020,26,"Mobility and Transport","MOVE",29
567,2020,27,"Regional and Urban Policy","REGIO",0
568,2020,28,"Secretariat-General","SG",0
569,2020,29,"Taxation and Customs Union","TAXUD",57
570,2020,30,"Trade","TRADE",0
